ipc_section,offence,bns_section,confidence,needs_review,notes
2,"Acts within India (application)","BNS 1",low,Y,"Application/extent clause; not in offence directory; VERIFY"
3,"Offences beyond India tried under Indian law","BNS 1",low,Y,"Application clause; VERIFY"
4,"Extra-territorial application","BNS 1",low,Y,"Application clause; VERIFY"
5,"Saving of certain laws","BNS 1",low,Y,"Application/saving clause; VERIFY"
13,"Definition 'Queen' (already omitted)","OMITTED",high,N,"Repealed in IPC (A.O. 1950); no BNS equivalent"
34,"Common intention","BNS 3(5)",high,N,"Confirmed: directory + 2 tables"
107,"Abetment (definition)","BNS 45",med,Y,"Not in directory; BNS abetment ch. 45-62; verify"
109,"Abetment if act committed","BNS 49",med,Y,"Not in directory; verify"
114,"Abettor present at offence","BNS 52",med,Y,"Not in directory; verify"
120,"Concealing design to commit offence","BNS 58",low,Y,"Not in directory; verify"
120B,"Criminal conspiracy (punishment)","BNS 61(2)",high,N,"Confirmed: directory (120B->61); 61(2)=punishment"
143,"Unlawful assembly (punishment)","BNS 189(2)",high,N,"Confirmed: directory"
147,"Rioting","BNS 191(2)",high,N,"Confirmed: directory"
148,"Rioting armed with deadly weapon","BNS 191(3)",high,N,"Confirmed: directory"
149,"Unlawful assembly - common object","BNS 190",high,N,"Confirmed: directory + 2 tables"
155,"Liability for riot (benefit)","VERIFY",low,Y,"Not in directory; no reliable source; verify"
156,"Liability of agent/manager for riot","VERIFY",low,Y,"Not in directory; verify"
161,"Public servant taking gratification","PC Act 1988",high,N,"IPC 161-165A repealed by Prevention of Corruption Act 1988; not in IPC/BNS"
164,"Public servant abetting offence","PC Act 1988",med,Y,"Within repealed 161-165A cluster; verify"
173,"Preventing service of summons","BNS 207",low,Y,"Not in directory (dir 173 is target of IPC 171E); verify"
174A,"Non-appearance after proclamation","BNS 209",med,Y,"Not in directory; verify"
186,"Obstructing public servant","BNS 221",high,N,"Confirmed: directory"
188,"Disobedience to order of public servant","BNS 223",high,N,"Confirmed: directory"
190,"Threat to induce not to seek public-servant protection","VERIFY",low,Y,"Not in directory (BNS 226 is a NEW section); verify"
193,"Punishment for false evidence","BNS 229(2)",med,Y,"Directory shows 194->229; 193 punishment->229(2); verify"
200,"Using false declaration as true","BNS 233",low,Y,"Not in directory; verify"
201,"Causing disappearance of evidence","BNS 238",high,N,"Confirmed: directory"
228,"Insult/interruption to public servant in judicial proceeding","BNS 267",low,Y,"Not in directory; verify"
229A,"Failure to attend (bail/bond)","BNS 269",low,Y,"Not in directory; verify"
279,"Rash driving on public way","BNS 281",high,N,"Confirmed: directory"
294,"Obscene acts and songs","BNS 296",high,N,"Confirmed: directory (294->296)"
294(b),"Obscene songs (sub-clause)","BNS 296(b)",med,Y,"Directory confirms 294->296; sub-clause (b) verify"
299,"Culpable homicide (definition)","BNS 100",high,N,"Standard renumbering"
