row,gazette_page,section,offence,punishment,cognizable_raw,bailable_raw,court
1,158,49,"Abetment of any offence, if the act abetted is committed in consequence, and where no express provision is made for its punishment.",Same as for offence abetted.,According as offence abetted is cognizable or non-cognizable.,According as offence abetted is bailable or non-bailable.,Court by which offence abetted is triable.
2,158,50,"Abetment of any offence, if the person abetted does act with different intention from that of abettor.",Same as for offence abetted.,According as offence abetted is cognizable or non-cognizable.,According as offence abetted is bailable or non-bailable.,Court by which offence abetted is triable.
3,158,51,"Abetment of any offence, when one act is abetted and a different act is done; subject to the proviso.",Same as for offence intended to be abetted.,According as offence abetted is cognizable or non-cognizable.,According as offence abetted is bailable or non-bailable.,Court by which offence abetted is triable.
4,158,52,Abettor when liable to cumulative punishment for act abetted and for act done.,Same as for offence abetted.,According as offence abetted is cognizable or non-cognizable.,According as offence abetted is bailable or non-bailable.,Court by which offence abetted is triable.
5,158,53,"Abetment of any offence, when an effect is caused by the act abetted different from that intended by the abettor.",Same as for offence committed.,According as offence abetted is cognizable or non-cognizable.,According as offence abetted is bailable or non-bailable.,Court by which offence abetted is triable.
6,158,54,"Abetment of any offence, if abettor present when offence is committed.",Same as for offence committed.,According as offence abetted is cognizable or non-cognizable.,According as offence abetted is bailable or non-bailable.,Court by which offence abetted is triable.
7,158,55,"Abetment of an offence, punishable with death or imprisonment for life, if the offence be not committed in consequence of the abetment.",Imprisonment for 7 years and fine.,According as offence abetted is cognizable or non-cognizable.,Non-bailable.,Court by which offence abetted is triable.
8,158,,If an act which causes harm to be done in consequence of the abetment.,Imprisonment for 14 years and fine.,According as offence abetted is cognizable or non-cognizable.,Non-bailable.,Court by which offence abetted is triable.
9,158,56,"Abetment of an offence, punishable with imprisonment, if the offence be not committed in consequence of the abetment.","Imprisonment extending to one-fourth of the longest term provided for the offence, or fine, or both.",According as offence abetted is cognizable or non-cognizable.,According as offence abetted is bailable or non-bailable.,Court by which offence abetted is triable.
10,159,,If the abettor or the person abetted be a public servant whose duty it is to prevent the offence.,"Imprisonment extending to one-half of the longest term provided for the offence, or fine, or both.",According as offence abetted is cognizable or non-cognizable.,According as offence abetted is bailable or non-bailable.,Court by which offence abetted is triable.
11,159,57,Abetting commission of an offence by the public or by more than ten persons.,Imprisonment which may extend to 7 years and fine.,According as offence abetted is cognizable or non-cognizable.,According as offence abetted is bailable or non-bailable.,Court by which offence abetted is triable.
12,159,58(a),"Concealing design to commit offence punishable with death or imprisonment for life, if the offence be committed.",Imprisonment for 7 years and fine.,According as offence abetted is cognizable or non-cognizable.,Non-bailable.,Court by which offence abetted is triable.
13,159,58(b),If offence be not committed.,Imprisonment for 3 years and fine.,According as offence abetted is cognizable or non-cognizable.,Bailable.,Court by which offence abetted is triable.
14,159,59(a),"A public servant concealing a design to commit an offence which it is his duty to prevent, if the offence be committed.","Imprisonment extending to one-half of the longest term provided for the offence, or fine, or both.",According as offence abetted is cognizable or non-cognizable.,According as offence abetted is bailable or non-bailable.,Court by which offence abetted is triable.
15,159,59(b),If the offence be punishable with death or imprisonment for life.,Imprisonment for 10 years.,According as offence abetted is cognizable or non-cognizable.,Non-bailable.,Court by which offence abetted is triable.
16,159,59(c),If the offence be not committed.,"Imprisonment extending to one-fourth of the longest term provided for the offence, or fine, or both.",According as offence abetted is cognizable or non-cognizable.,Bailable.,Court by which offence abetted is triable.
17,159,60(a),"Concealing a design to commit an offence punishable with imprisonment, if offence be committed.","Imprisonment extending to one-fourth of the longest term provided for the offence, or fine, or both.",According as offence abetted is cognizable or non-cognizable.,According as offence abetted is bailable or non-bailable.,Court by which offence abetted is triable.
18,159,60(b),If the offence be not committed.,"Imprisonment extending to one-eighth part of the longest term provided for the offence, or fine, or both.",According as offence abetted is cognizable or non-cognizable.,Bailable.,Court by which offence abetted is triable.
19,159,61(2)(a),"Criminal conspiracy to commit an offence punishable with death, imprisonment for life or rigorous imprisonment for a term of 2 years or upwards.",Same as for abetment of the offence which is the object of the conspiracy.,According as the offence which is the object of conspiracy is cognizable or non-cognizable.,According as offence which is object of conspiracy is bailable or non-bailable.,Court by which abetment of the offence which is the object of conspiracy is triable.
20,159,61(2)(b),Any other criminal conspiracy.,"Imprisonment for 6 months, or fine, or both.",Non-cognizable.,Bailable.,Magistrate of the first class.
21,159,62,"Attempting to commit offence punishable with imprisonment for life, or imprisonment, and in such attempt doing any act towards the commission of the offence.","One half of the imprison- ment for life, or imprison- ment not exceeding one- half of the longest term, provided for the offence, or fine, or both.",According as the offence is cognizable or non-cognizable.,According as the offence attempted by the offender is bailable or non-bailable.,The court by which the offence attempted is triable.
22,159,64(1),Rape.,"Rigorous imprisonment for not less than 10 years but which may extend to imprisonment for life, and fine.",Cognizable.,Non-bailable.,Court of Session.
23,160,64(2),"Rape by a police officer or a public servant or member of armed forces or a person being on the management or on the staff of a jail, remand home or other place of custody or women's or children's institution or by a person on the management or on the staff of a hospital, and rape committed by a person in a position of trust or authority towards the person raped or by a near relative of the person raped.",Rigorous imprisonment for not less than 10 years but which may extend to imprisonment for life which shall mean the remainder of that person's natural life and fine.,Cognizable.,Non-bailable.,Court of Session.
24,160,65(1),Persons committing offence of rape on a woman under sixteen years of age.,"Rigorous imprisonment for not less than 20 years but which may extend to imprisonment for life, which shall mean imprisonment for the remainder of that person's natural life and fine.",Cognizable.,Non-bailable.,Court of Session.
25,160,65(2),Persons committing offence of rape on a woman under twelve years of age.,Rigorous imprisonment for not less than 20 years but which may extend to imprisonment for life which shall mean imprisonment for the remainder of that person's natural life and with fine or death.,Cognizable.,Non-bailable.,Court of Session.
26,160,66,Person committing an offence of rape and inflicting injury which causes death or causes the woman to be in a persistent vegetative state.,Rigorous imprisonment for not less than 20 years but which may extend to imprisonment for life which shall mean imprisonment for the remainder of that person's natural life or death.,Cognizable.,Non-bailable.,Court of Session.
27,160,67,Sexual intercourse by husband upon his wife during separation.,Imprisonment for not less than 2 years but which may extend to 7 years and fine.,Cognizable (only on the complaint of the victim).,Bailable.,Court of Session.
28,160,68,"Sexual intercourse by a person in authority, etc.","Rigorous imprisonment for not less than 5 years, but which may extend to 10 years and fine.",Cognizable.,Non-bailable.,Court of Session.
29,160,69,"Sexual intercourse by employing deceitful means, etc.",Imprisonment which may extend to 10 years and fine.,Cognizable.,Non-bailable.,Court of Session.
30,160,70(1),Gang rape.,Rigorous imprisonment for not less than 20 years but which may extend to imprisonment for life which shall mean imprisonment for the remainder of that person's natural life and fine.,Cognizable.,Non-bailable.,Court of Session.
31,161,70(2),Gang rape on a woman under eighteen years of age.,Imprisonment for life which shall mean imprisonment for the remainder of that person's natural life and with fine or with death.,Cognizable.,Non-bailable.,Court of Session.
32,161,71,Repeat offenders.,Imprisonment for life which shall mean imprisonment for the remainder of that person's natural life or with death.,Cognizable.,Non-bailable.,Court of Session.
33,161,72(1),"Disclosure of identity of the victim of certain offences, etc.",Imprisonment for 2 years and fine.,Cognizable.,Bailable.,Any Magistrate.
34,161,73,Printing or publication of a proceeding without prior permission of court.,Imprisonment for 2 years and fine.,Cognizable.,Bailable.,Any Magistrate.
35,161,74,Assault or use of criminal force to woman with intent to outrage her modesty.,Imprisonment for 1 year which may extend to 5 years and fine.,Cognizable.,Non-bailable.,Any Magistrate.
36,161,75(2),Sexual harassment and punishment for sexual harassment specified in clause (i) or clause (ii) or clause (iii) of sub-section (1).,"Rigorous imprisonment with 3 years, or fine, or both.",Cognizable.,Non-bailable.,Court of Session.
37,161,75(3),Sexual harassment and punishment for sexual harassment specified in clause (iv) of sub-section (1).,"Imprisonment for 1 year, or fine, or both.",Cognizable.,Non-bailable.,Court of Session.
38,161,76,Assault or use of criminal force to woman with intent to disrobe.,Imprisonment for not less than 3 years but which may extend to 7 years and fine.,Cognizable.,Non-bailable.,Court of Session.
39,161,77,Voyeurism.,Imprisonment for not less than 1 year but which may extend to 3 years and fine.,Cognizable.,Bailable.,Court of Session.
40,161,,Second or subsequent conviction.,Imprisonment for not less than 3 years but which may extend to 7 years and fine.,Cognizable.,Non-bailable.,Court of Session.
41,161,78(2),Stalking.,Imprisonment up to 3 years and fine.,Cognizable.,Bailable.,Any Magistrate.
42,161,,Second or subsequent conviction.,Imprisonment up to 5 years and fine.,Cognizable.,Non-bailable.,Any Magistrate.
